id,date,r,error
303,2024-05-22,2,0
304,2024-05-22,2,0
305,2024-05-22,2,0
306,2024-05-22,5,0
307,2024-05-22,5,0
308,2024-05-22,5,0
309,2024-05-22,2,0
310,2024-05-22,2,0
311,2024-05-22,2,0
312,2024-05-22,2,0
313,2024-05-22,2,0
314,2024-05-22,2,0
315,2024-05-22,2,0
316,2024-05-22,15,0
317,2024-05-22,23,0
318,2024-05-22,2,0
319,2024-05-22,10,0
320,2024-05-22,10,0
321,2024-05-22,5,0
322,2024-05-22,5,0
323,2024-05-22,5,0
324,2024-05-22,5,0
325,2024-05-22,5,0
326,2024-05-22,5,0
327,2024-05-22,5,0
328,2024-05-22,5,0
329,2024-05-22,5,0
330,2024-05-22,5,0
331,2024-05-22,5,0
332,2024-05-22,5,0
333,2024-05-22,5,0
334,2024-05-22,5,0
335,2024-05-22,15,0
336,2024-05-22,15,0
337,2024-05-22,15,0
338,2024-05-22,10,0
339,2024-05-22,25,0
340,2024-05-22,20,0
341,2024-05-22,20,0
342,2024-05-22,20,0
343,2025-05-22,5,0
344,2025-05-22,5,0
345,2025-05-22,14,0
346,2025-05-22,2,0
347,2025-05-22,2,0
348,2025-05-22,2,0
349,2025-05-22,10,0
350,2025-05-22,10,0
351,2025-05-22,10,0
352,2025-05-22,10,0
353,2025-05-22,45,0
354,2025-05-22,12,0
355,2025-05-22,10,0
356,2025-05-22,3,0
357,2025-05-22,3,0
358,2025-05-22,3,0
359,2025-05-22,3,0
360,2025-05-22,5,0
361,2025-05-22,10,0
362,2025-05-22,10,0
363,2025-05-22,10,0
364,2025-05-22,10,0
365,2025-05-22,10,0
366,2025-05-22,10,0
367,2025-05-22,10,0
368,2025-05-22,10,0
369,2025-05-22,10,0
370,2025-05-22,10,0
371,2025-05-22,10,0
372,2025-05-22,10,0
373,2025-05-22,10,0
374,2025-05-22,10,0
375,2025-05-22,10,0
376,2025-05-22,10,0
377,2025-05-22,10,0
378,2025-05-22,10,0
379,2025-05-22,20,0
380,2025-05-22,20,0
381,2025-05-22,20,0
382,2025-05-22,10,0
383,2025-05-22,10,0
384,2025-05-22,20,0
385,2025-05-22,20,0
386,2025-05-22,50,0
387,2025-05-22,-10,0
388,2025-05-22,30,0
389,2025-05-22,10,0
390,2025-05-22,10,0
391,2025-05-22,40,0
392,2025-05-22,30,0
393,2025-05-22,20,0
394,2025-05-22,20,0
395,2025-05-22,20,0
396,2025-05-22,20,0
397,2025-05-22,50,0
398,2025-05-22,50,0
399,2025-05-22,50,0
400,2025-05-22,50,0
401,2025-05-22,50,0
402,2025-05-22,50,0
403,2025-05-22,50,0
404,2025-05-22,50,0
405,2025-05-22,20,0
406,2025-05-22,20,0
407,2025-05-22,20,0
408,2025-05-22,20,0
409,2025-05-22,20,0
410,2025-05-22,20,0
411,2025-05-22,20,0
412,2025-05-22,50,0
413,2025-05-22,50,0
414,2025-05-22,50,0
415,2025-05-22,20,0
